date,currExpiry,nextExpiry
22-03-2022,BANKNIFTY22324,BANKNIFTY22MAR
23-03-2022,BANKNIFTY22324,BANKNIFTY22MAR
24-03-2022,BANKNIFTY22324,BANKNIFTY22MAR
25-03-2022,BANKNIFTY22MAR,BANKNIFTY22407
28-03-2022,BANKNIFTY22MAR,BANKNIFTY22407
29-03-2022,BANKNIFTY22MAR,BANKNIFTY22407
30-03-2022,BANKNIFTY22MAR,BANKNIFTY22407
31-03-2022,BANKNIFTY22MAR,BANKNIFTY22407
01-04-2022,BANKNIFTY22407,BANKNIFTY22413
04-04-2022,BANKNIFTY22407,BANKNIFTY22413
05-04-2022,BANKNIFTY22407,BANKNIFTY22413
06-04-2022,BANKNIFTY22407,BANKNIFTY22413
07-04-2022,BANKNIFTY22407,BANKNIFTY22413
08-04-2022,BANKNIFTY22413,BANKNIFTY22421
11-04-2022,BANKNIFTY22413,BANKNIFTY22421
12-04-2022,BANKNIFTY22413,BANKNIFTY22421
13-04-2022,BANKNIFTY22413,BANKNIFTY22421
18-04-2022,BANKNIFTY22421,BANKNIFTY22APR
19-04-2022,BANKNIFTY22421,BANKNIFTY22APR
20-04-2022,BANKNIFTY22421,BANKNIFTY22APR
21-04-2022,BANKNIFTY22421,BANKNIFTY22APR
22-04-2022,BANKNIFTY22APR,BANKNIFTY22505
25-04-2022,BANKNIFTY22APR,BANKNIFTY22505
26-04-2022,BANKNIFTY22APR,BANKNIFTY22505
27-04-2022,BANKNIFTY22APR,BANKNIFTY22505
28-04-2022,BANKNIFTY22APR,BANKNIFTY22505
29-04-2022,BANKNIFTY22505,BANKNIFTY22512
02-05-2022,BANKNIFTY22505,BANKNIFTY22512
04-05-2022,BANKNIFTY22505,BANKNIFTY22512
05-05-2022,BANKNIFTY22505,BANKNIFTY22512
